time,soi,nino
2010-10-01,18.3,nina
2010-11-01,16.4,nina
2010-12-01,27.1,nina
2011-01-01,19.9,nina
2011-02-01,22.3,nina
2011-03-01,21.4,nina
2011-04-01,25.1,nina
2011-05-01,2.1,none
2011-06-01,0.2,none
2011-07-01,10.7,none
2011-08-01,2.1,none
2011-09-01,11.7,nina
2011-10-01,7.3,nina
2011-11-01,13.8,nina
2011-12-01,23.0,nina
2012-01-01,9.4,nina
2012-02-01,2.5,none
2012-03-01,2.9,none
2012-04-01,-7.1,none
2012-05-01,-2.7,none
2012-06-01,-10.4,none
2012-07-01,-1.7,none
2012-08-01,-5.0,none
2012-09-01,2.6,none
2012-10-01,2.4,none
2012-11-01,3.9,none
2012-12-01,-6.0,none
2013-01-01,-1.1,none
2013-02-01,-3.6,none
2013-03-01,10.5,none
2013-04-01,0.3,none
2013-05-01,8.4,nina
2013-06-01,13.9,nina
2013-07-01,8.1,nina
2013-08-01,-0.5,none
2013-09-01,3.9,none
2013-10-01,-1.9,none
2013-11-01,9.2,none
2013-12-01,0.6,none
2014-01-01,12.2,none
2014-02-01,-1.3,none
2014-03-01,-13.3,none
2014-04-01,8.6,nina
2014-05-01,4.4,none
2014-06-01,-1.5,none
2014-07-01,-3.0,none
2014-08-01,-11.4,nino
2014-09-01,-7.6,nino
2014-10-01,-8.0,nino
2014-11-01,-10.0,nino
2014-12-01,-5.5,none
2015-01-01,-7.8,none
2015-02-01,0.6,none
2015-03-01,-11.2,none
2015-04-01,-3.8,none
2015-05-01,-13.7,nino
2015-06-01,-12.0,nino
2015-07-01,-14.7,nino
2015-08-01,-19.8,nino
2015-09-01,-17.8,nino
2015-10-01,-20.2,nino
2015-11-01,-5.3,none
2015-12-01,-9.1,nino
2016-01-01,-19.7,nino
2016-02-01,-19.7,nino
2016-03-01,-4.7,none
2016-04-01,-22.0,none
2016-05-01,2.8,none
2016-06-01,5.8,none
2016-07-01,4.2,none
2016-08-01,5.3,none
2016-09-01,13.5,none
2016-10-01,-4.3,none
2016-11-01,-0.7,none
2016-12-01,2.6,none
2017-01-01,1.3,none
2017-02-01,-2.2,none
2017-03-01,5.1,none
2017-04-01,-6.3,none
2017-05-01,0.5,none
2017-06-01,-10.4,none
2017-07-01,8.1,nina
2017-08-01,3.3,none
2017-09-01,6.9,nina
2017-10-01,9.1,nina
2017-11-01,11.8,nina
2017-12-01,-1.4,none
2018-01-01,8.9,none
2018-02-01,-6.0,none
2018-03-01,10.5,none
2018-04-01,4.5,none
2018-05-01,2.1,none
2018-06-01,-5.5,none
2018-07-01,1.6,none
2018-08-01,-6.9,nino
2018-09-01,-10.0,nino
2018-10-01,3.0,none
2018-11-01,-0.1,none
2018-12-01,9.3,none
2019-01-01,-0.6,none
2019-02-01,-13.5,nino
2019-03-01,-6.8,nino
2019-04-01,-1.3,none
2019-05-01,-9.0,nino
2019-06-01,-10.4,nino
2019-07-01,-5.6,none
2019-08-01,-4.4,none
2019-09-01,-12.4,none
2019-10-01,-5.6,none
