lon,lat,doy,seas,thresh
146.625,-16.125,253,24.88,25.8
146.625,-16.125,254,24.9,25.82
146.625,-16.125,255,24.92,25.85
146.625,-16.125,256,24.94,25.87
146.625,-16.125,257,24.97,25.9
146.625,-16.125,258,24.99,25.92
146.625,-16.125,259,25.02,25.95
146.625,-16.125,260,25.04,25.98
146.625,-16.125,261,25.06,26.01
146.625,-16.125,262,25.09,26.04
146.625,-16.125,263,25.12,26.06
146.625,-16.125,264,25.14,26.09
146.625,-16.125,265,25.17,26.12
146.625,-16.125,266,25.2,26.16
146.625,-16.125,267,25.23,26.19
146.625,-16.125,268,25.27,26.23
146.625,-16.125,269,25.3,26.26
146.625,-16.125,270,25.33,26.29
146.625,-16.125,271,25.36,26.32
146.625,-16.125,272,25.4,26.36
146.625,-16.125,273,25.43,26.39
146.625,-16.125,274,25.46,26.42
146.625,-16.125,275,25.49,26.45
146.625,-16.125,276,25.53,26.48
146.625,-16.125,277,25.56,26.51
146.625,-16.125,278,25.59,26.54
146.625,-16.125,279,25.62,26.57
146.625,-16.125,280,25.65,26.6
146.625,-16.125,281,25.68,26.64
146.625,-16.125,282,25.72,26.68
146.625,-16.125,283,25.75,26.72
146.625,-16.125,284,25.79,26.76
146.625,-16.125,285,25.82,26.8
146.625,-16.125,286,25.86,26.84
146.625,-16.125,287,25.9,26.88
146.625,-16.125,288,25.93,26.92
146.625,-16.125,289,25.97,26.95
146.625,-16.125,290,26.01,26.99
146.625,-16.125,291,26.05,27.03
146.625,-16.125,292,26.08,27.06
146.625,-16.125,293,26.12,27.1
146.625,-16.125,294,26.16,27.14
146.625,-16.125,295,26.19,27.18
146.625,-16.125,296,26.23,27.21
146.625,-16.125,297,26.27,27.25
146.625,-16.125,298,26.3,27.29
146.625,-16.125,299,26.34,27.32
146.625,-16.125,300,26.37,27.36
146.625,-16.125,301,26.41,27.4
146.625,-16.125,302,26.44,27.43
146.625,-16.125,303,26.48,27.46
146.625,-16.125,304,26.52,27.5
146.625,-16.125,305,26.55,27.53
146.625,-16.125,306,26.59,27.56
146.625,-16.125,307,26.63,27.6
146.625,-16.125,308,26.67,27.64
146.625,-16.125,309,26.71,27.67
146.625,-16.125,310,26.75,27.72
146.625,-16.125,311,26.79,27.76
146.625,-16.125,312,26.83,27.8
146.625,-16.125,313,26.87,27.84
146.625,-16.125,314,26.91,27.88
146.625,-16.125,315,26.95,27.93
146.625,-16.125,316,26.99,27.98
146.625,-16.125,317,27.03,28.03
146.625,-16.125,318,27.07,28.08
146.625,-16.125,319,27.11,28.14
146.625,-16.125,320,27.15,28.19
146.625,-16.125,321,27.19,28.25
146.625,-16.125,322,27.23,28.3
146.625,-16.125,323,27.27,28.36
146.625,-16.125,324,27.31,28.41
146.625,-16.125,325,27.35,28.46
146.625,-16.125,326,27.39,28.51
146.625,-16.125,327,27.44,28.56
146.625,-16.125,328,27.48,28.61
146.625,-16.125,329,27.52,28.66
146.625,-16.125,330,27.56,28.71
146.625,-16.125,331,27.6,28.75
146.625,-16.125,332,27.64,28.8
146.625,-16.125,333,27.68,28.85
146.625,-16.125,334,27.72,28.9
146.625,-16.125,335,27.76,28.95
146.625,-16.125,336,27.79,29
146.625,-16.125,337,27.83,29.05
146.625,-16.125,338,27.87,29.1
146.625,-16.125,339,27.9,29.14
146.625,-16.125,340,27.94,29.18
146.625,-16.125,341,27.97,29.22
146.625,-16.125,342,28,29.26
146.625,-16.125,343,28.04,29.29
146.625,-16.125,344,28.07,29.33
146.625,-16.125,345,28.1,29.36
146.625,-16.125,346,28.12,29.39
146.625,-16.125,347,28.15,29.41
146.625,-16.125,348,28.18,29.44
146.625,-16.125,349,28.2,29.46
146.625,-16.125,350,28.22,29.48
146.625,-16.125,351,28.25,29.51
146.625,-16.125,352,28.27,29.53
