lon,lat,doy,seas,thresh
-120.125,34.125,273,17.02,18.68
-120.125,34.125,274,17.01,18.64
-120.125,34.125,275,17,18.61
-120.125,34.125,276,16.98,18.57
-120.125,34.125,277,16.97,18.54
-120.125,34.125,278,16.95,18.51
-120.125,34.125,279,16.94,18.48
-120.125,34.125,280,16.92,18.46
-120.125,34.125,281,16.91,18.43
-120.125,34.125,282,16.89,18.39
-120.125,34.125,283,16.87,18.36
-120.125,34.125,284,16.86,18.35
-120.125,34.125,285,16.84,18.33
-120.125,34.125,286,16.82,18.32
-120.125,34.125,287,16.8,18.31
-120.125,34.125,288,16.78,18.29
-120.125,34.125,289,16.77,18.28
-120.125,34.125,290,16.75,18.26
-120.125,34.125,291,16.73,18.24
-120.125,34.125,292,16.71,18.22
-120.125,34.125,293,16.69,18.19
-120.125,34.125,294,16.68,18.17
-120.125,34.125,295,16.66,18.14
-120.125,34.125,296,16.64,18.12
-120.125,34.125,297,16.62,18.1
-120.125,34.125,298,16.6,18.08
-120.125,34.125,299,16.58,18.06
-120.125,34.125,300,16.55,18.04
-120.125,34.125,301,16.53,18.02
-120.125,34.125,302,16.51,18
-120.125,34.125,303,16.49,17.98
-120.125,34.125,304,16.46,17.96
-120.125,34.125,305,16.43,17.94
-120.125,34.125,306,16.41,17.92
-120.125,34.125,307,16.38,17.89
-120.125,34.125,308,16.35,17.86
-120.125,34.125,309,16.32,17.82
-120.125,34.125,310,16.28,17.78
-120.125,34.125,311,16.24,17.73
-120.125,34.125,312,16.2,17.68
-120.125,34.125,313,16.16,17.63
-120.125,34.125,314,16.11,17.58
-120.125,34.125,315,16.06,17.52
-120.125,34.125,316,16.01,17.46
-120.125,34.125,317,15.96,17.39
-120.125,34.125,318,15.9,17.33
-120.125,34.125,319,15.85,17.26
-120.125,34.125,320,15.79,17.2
-120.125,34.125,321,15.74,17.14
-120.125,34.125,322,15.68,17.08
-120.125,34.125,323,15.63,17.02
-120.125,34.125,324,15.57,16.96
-120.125,34.125,325,15.52,16.9
-120.125,34.125,326,15.46,16.85
-120.125,34.125,327,15.41,16.8
-120.125,34.125,328,15.36,16.74
-120.125,34.125,329,15.3,16.69
-120.125,34.125,330,15.25,16.64
-120.125,34.125,331,15.2,16.59
-120.125,34.125,332,15.15,16.53
-120.125,34.125,333,15.1,16.48
-120.125,34.125,334,15.06,16.43
-120.125,34.125,335,15.01,16.37
-120.125,34.125,336,14.96,16.31
-120.125,34.125,337,14.91,16.26
-120.125,34.125,338,14.87,16.21
-120.125,34.125,339,14.82,16.17
-120.125,34.125,340,14.78,16.12
-120.125,34.125,341,14.74,16.08
-120.125,34.125,342,14.69,16.04
-120.125,34.125,343,14.65,16.01
-120.125,34.125,344,14.61,15.97
-120.125,34.125,345,14.58,15.94
-120.125,34.125,346,14.54,15.9
-120.125,34.125,347,14.51,15.87
-120.125,34.125,348,14.47,15.84
-120.125,34.125,349,14.44,15.8
-120.125,34.125,350,14.41,15.77
-120.125,34.125,351,14.38,15.73
-120.125,34.125,352,14.35,15.71
-120.125,34.125,353,14.32,15.68
-120.125,34.125,354,14.29,15.65
-120.125,34.125,355,14.27,15.62
-120.125,34.125,356,14.24,15.58
-120.125,34.125,357,14.21,15.54
-120.125,34.125,358,14.19,15.51
-120.125,34.125,359,14.16,15.47
-120.125,34.125,360,14.14,15.43
-120.125,34.125,361,14.11,15.4
-120.125,34.125,362,14.09,15.36
-120.125,34.125,363,14.06,15.32
-120.125,34.125,364,14.04,15.29
-120.125,34.125,365,14.02,15.25
-120.125,34.125,366,14,15.22
