YEAR,MONTH,DATE,SBC_SITE,LOCATION,COUNT,ACTIVITY,NOTES
2009,3,3/17/2009,CARP,CARP,0,NA,NA
2009,3,3/18/2009,AQUE,AQUE,0,NA,NA
2009,3,3/18/2009,NAPL,NAPL,0,NA,NA
2009,3,3/31/2009,AQUE,AQUE,0,NA,NA
2009,3,3/31/2009,NAPL,NAPL,0,NA,NA
2009,3,3/31/2009,MOHK,MOHK,0,NA,NA
2009,4,4/2/2009,MOHK,MOHK,0,NA,NA
2009,4,4/7/2009,ABUR,ABUR,0,NA,NA
2009,4,4/7/2009,MOHK,MOHK,0,NA,NA
2009,4,4/21/2009,AQUE,AQUE,0,NA,NA
2009,4,4/22/2009,NAPL,NAPL,0,NA,NA
2009,4,4/24/2009,MOHK,MOHK,0,NA,NA
2009,4,4/29/2009,CARP,CARP,0,NA,NA
2009,5,5/1/2009,AQUE,AQUE,0,NA,NA
2009,5,5/4/2009,ABUR,ABUR,0,NA,NA
2009,5,5/5/2009,MOHK,MOHK,0,NA,NA
2009,5,5/5/2009,MOHK,MOHK,0,NA,NA
2009,5,5/12/2009,MOHK,MOHK,0,NA,NA
2009,5,5/18/2009,SCDI,SCDI,0,NA,NA
2009,5,5/18/2009,SCTW,SCTW,0,NA,NA
2009,5,5/27/2009,MOHK,MOHK,0,NA,NA
2009,5,5/27/2009,ABUR,ABUR,0,NA,NA
2009,5,5/27/2009,MOHK,MOHK,0,NA,NA
2009,5,5/28/2009,MOHK,MOHK,0,NA,NA
2009,5,5/29/2009,MOHK,MOHK,0,NA,NA
2009,5,5/29/2009,NAPL,NAPL,0,NA,NA
2009,5,5/29/2009,MOHK,MOHK,0,NA,NA
2009,5,5/29/2009,MOHK,MOHK,0,NA,NA
2009,5,5/29/2009,MOHK,MOHK,0,NA,NA
2009,5,5/29/2009,NAPL,NAPL,0,NA,NA
2009,6,6/2/2009,MOHK,MOHK,0,NA,NA
2009,6,6/4/2009,AQUE,AQUE,0,NA,NA
2009,6,6/4/2009,MOHK,MOHK,0,NA,NA
2009,6,6/4/2009,NAPL,NAPL,0,NA,NA
2009,6,6/9/2009,MOHK,MOHK,0,NA,NA
2009,6,6/10/2009,CARP,CARP,0,NA,NA
2009,6,6/11/2009,NAPL,NAPL,0,NA,NA
2009,6,6/18/2009,AQUE,AQUE,0,NA,NA
2009,6,6/23/2009,IVEE,IVEE,0,NA,NA
2009,6,6/25/2009,MOHK,MOHK,0,NA,NA
2009,6,6/25/2009,MOHK,MOHK,0,NA,NA
2009,6,6/30/2009,CARP,CARP,0,NA,NA
2009,7,7/1/2009,MOHK,MOHK,0,NA,NA
2009,7,7/1/2009,ABUR,ABUR,0,NA,NA
2009,7,7/2/2009,AQUE,AQUE,0,NA,NA
2009,7,7/8/2009,BULL,BULL,0,NA,NA
2009,7,7/8/2009,AHND,AHND,0,NA,NA
2009,7,7/9/2009,MOHK,MOHK,0,NA,NA
